Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
01/07/2015,B36,The New Saints,1,2,A,,,
07/07/2015,FCI Levadia,Crusaders,1,1,D,,,
07/07/2015,FC Santa Coloma,Lincoln Red Imps,1,2,A,,,
07/07/2015,The New Saints,B36,4,1,H,,,
07/07/2015,Folgore,Pyunik,1,2,A,,,
14/07/2015,Sarajevo,Lech Poznań,0,2,A,,,
14/07/2015,Partizan,Dila,1,0,H,,,
14/07/2015,Trenčín,FCSB,0,2,A,,,
14/07/2015,Maribor,Astana,1,0,H,,,
14/07/2015,Skënderbeu Korçë,Crusaders,4,1,H,,,
14/07/2015,The New Saints,Fehérvár,0,1,A,,,
14/07/2015,Hibernians,Maccabi Tel Aviv,2,1,H,,,
14/07/2015,Ludogorets Razgrad,Milsami,0,1,A,,,
14/07/2015,Midtjylland,Lincoln Red Imps,1,0,H,,,
14/07/2015,APOEL,Vardar Skopje,0,0,D,,,
14/07/2015,FK Ventspils,HJK,1,3,A,,,
14/07/2015,Molde,Pyunik,5,0,H,,,
15/07/2015,Qarabağ,FK Rudar Pljevlja,0,0,D,,,
15/07/2015,Malmö FF,Žalgiris,0,0,D,,,
15/07/2015,BATE,Dundalk FC,2,1,H,,,
15/07/2015,Celtic,Stjarnan,2,0,H,,,
15/07/2015,Dinamo Zagreb,CS Fola Esch,1,1,D,,,
21/07/2015,Lincoln Red Imps,Midtjylland,0,2,A,,,
21/07/2015,Crusaders,Skënderbeu Korçë,3,2,H,,,
21/07/2015,Žalgiris,Malmö FF,0,1,A,,,
21/07/2015,Maccabi Tel Aviv,Hibernians,5,1,H,,,
21/07/2015,Vardar Skopje,APOEL,1,1,D,,,
21/07/2015,Milsami,Ludogorets Razgrad,2,1,H,,,
21/07/2015,Pyunik,Molde,1,0,H,,,
21/07/2015,Dila,Partizan,0,2,A,,,
21/07/2015,HJK,FK Ventspils,1,0,H,,,
22/07/2015,FK Rudar Pljevlja,Qarabağ,0,1,A,,,
22/07/2015,Astana,Maribor,3,1,H,,,
22/07/2015,CS Fola Esch,Dinamo Zagreb,0,3,A,,,
22/07/2015,FCSB,Trenčín,2,3,A,,,
22/07/2015,Fehérvár,The New Saints,1,1,D,,,
22/07/2015,Lech Poznań,Sarajevo,1,0,H,,,
22/07/2015,Dundalk FC,BATE,0,0,D,,,
22/07/2015,Stjarnan,Celtic,1,4,A,,,
28/07/2015,Fehérvár,BATE,1,1,D,,,
28/07/2015,Midtjylland,APOEL,1,2,A,,,
28/07/2015,Young Boys,Monaco,1,3,A,,,
28/07/2015,Dinamo Zagreb,Molde,1,1,D,,,
28/07/2015,Fenerbahçe,Shakhtar Donetsk,0,0,D,,,
28/07/2015,Milsami,Skënderbeu Korçë,0,2,A,,,
28/07/2015,Maccabi Tel Aviv,Viktoria Plzeň,1,2,A,,,
28/07/2015,CSKA Moskva,Sparta Praha,2,2,D,,,
28/07/2015,Panathinaikos,Club Brugge,2,1,H,,,
